序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
54,0,296686786928,411020833,涵清欢大师,6,男,"每次走内地的实习计划都是没工资的，交5500保证金，你早退一天还得扣500，当年大一找不到实习就去报了这些内地实习计划，当时投了腾讯中银东亚中国银河证券和湘财，最后去了中国银河，每天只有几十块钱的饭补。干了50天回香港才拿到5500退回的保证金。虽然说给你提供酒店住宿跟来回机票，但感觉还是太坑了，我朋友去腾讯和美团的连补贴都没。
我今年直接能报JPMorgan跟汇丰跟花旗的了，再不济去富途证券。打死不报这个内地实习计划，一个叫祖苗计划另一个是政府的民青局内地实习计划，坑的要死。",2026-03-25 21:32:18,0,5,。。。,中国香港,是,https://i1.hdslb.com/bfs/face/b5c67af1666e0870fb18a5945c915d7137bc8b12.jpg
55,0,292064017793,424134584,沁凉的夜,5,保密,可以问下up是本科还是研究生吗？我现在大三下还没有实习，然后最近一直在想是先找个实习还是直接考研，而且我是末9，唉[大哭][大哭],2026-03-04 08:51:00,39,116,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
56,292064017793,294521811664,523054837,青羽微伤,6,男,你技术怎么样啊 技术好直接冲秋招 技术不好上研究生缓冲,2026-03-05 09:31:51,0,40,do whatever you want,天津,否,https://i1.hdslb.com/bfs/face/7563ba1e6c99e0e9cd930f008f3bbd29f749cd89.jpg
57,294521811664,292163175873,424134584,沁凉的夜,5,保密,回复 @青羽微伤 :技术不太好的，就是按部就班的学的，我院课程设置很多都是背书课实验大多儿戏，所以真不太行，主要没做过啥项目，leetcode这些也是刷的不多，基本就是一个完蛋的状态，所以在想要不要考个研延迟就业，但是又怕最后下岸错过秋招，直接一个人生大寄特寄,2026-03-05 09:43:20,0,30,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
58,292163175873,294522980960,523054837,青羽微伤,6,男,回复 @沁凉的夜 :要不然你就冲考研 要不就申请个一年硕提升技术 刚好9本也够过简历关了,2026-03-05 09:44:32,0,12,do whatever you want,天津,否,https://i1.hdslb.com/bfs/face/7563ba1e6c99e0e9cd930f008f3bbd29f749cd89.jpg
59,294522980960,292164425473,424134584,沁凉的夜,5,保密,回复 @青羽微伤 :一年硕士是那种国外或者香港的吗？我家庭条件可能不太支持[大哭][大哭],2026-03-05 09:56:55,0,3,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
60,292164425473,294571786848,85749545,fickmfg,6,保密,回复 @沁凉的夜 :香港新加坡最便宜性价比最高，但是今年msc费用猛涨，hku工科光学费也得375000hkd，ust和cuhk还有新二两所能便宜些。你要是末9计算机均分有个85+，实习和科研都不拖后腿的情况下把语言考出来能申个不错的项目。,2026-03-05 19:00:30,0,14,,山东,是,https://i2.hdslb.com/bfs/face/d5cd3ece8b26f3687d74bece612f7e1ec5fe50d9.jpg
61,292164425473,294571873792,85749545,fickmfg,6,保密,回复 @沁凉的夜 :再或者考研也行，还是得读个不低于本科档次的硕，起码简历关都稳稳过定薪也高些，找到工作后慢慢刷经验和履历就好些。,2026-03-05 19:04:05,0,1,,山东,是,https://i2.hdslb.com/bfs/face/d5cd3ece8b26f3687d74bece612f7e1ec5fe50d9.jpg
62,294571786848,292209844161,424134584,沁凉的夜,5,保密,回复 @fickmfg :均分有88但是绩点和排名都不算高，现在没给前五学期的排名感觉大概是30%到45%左右，主要真的是穷逼，其实港硕和出国从来不在考虑范围内[笑哭][笑哭],2026-03-05 19:08:24,0,1,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
63,294571873792,292209890145,424134584,沁凉的夜,5,保密,回复 @fickmfg :是有点想这样的，感觉技术力和钱都不够的情况下还是考个研比较稳妥。只是再往上考感觉就是c9华五这些，但是好热啊被今年分数狠狠吓退[大哭][大哭]很担心万一考不上咋办，但是综合下来感觉最后还是会走这条路的。,2026-03-05 19:14:09,0,1,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
64,292209890145,294572331552,85749545,fickmfg,6,保密,回复 @沁凉的夜 :保不上就考吧，考不上再次也是个985，实习还是会有人要的。考上后套瓷个宽松的导师方便你刷实习，别被邪恶老头抓去疯狂压榨做横向爆金币浪费时间。其实有个985本容错率已经很高了。,2026-03-05 19:18:47,0,18,,山东,是,https://i2.hdslb.com/bfs/face/d5cd3ece8b26f3687d74bece612f7e1ec5fe50d9.jpg
65,294572331552,292210201249,424134584,沁凉的夜,5,保密,回复 @fickmfg :嗯，谢谢，希望能有个好去处吧[难过][难过],2026-03-05 19:25:57,0,0,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
66,292164425473,294791050368,111931246,--Devin--,6,保密,别听他的一年硕等于玩一年家里没钱不要去了，没提升的,2026-03-07 17:07:03,0,11,,中国香港,否,https://i1.hdslb.com/bfs/face/3905169012e6b385bc999187fd67194fd73b3430.jpg
67,294791050368,292442031393,424134584,沁凉的夜,5,保密,回复 @--Devin-- :好的，其实这个也不在计划内的[笑哭][笑哭],2026-03-08 03:21:49,0,0,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
68,292064017793,292553021329,1302511965,影子军主,5,男,会不会用ai,2026-03-09 05:19:53,0,0,,广东,是,https://i0.hdslb.com/bfs/face/ca51584dbfc8e90b9cb65b4ab7fe61f1a9f51408.jpg
69,292442031393,292553106385,1302511965,影子军主,5,男,回复 @沁凉的夜 : 不要考研，计算机宁愿工作也不要考研，大不了你去报培训班,2026-03-09 05:20:50,0,3,,广东,是,https://i0.hdslb.com/bfs/face/ca51584dbfc8e90b9cb65b4ab7fe61f1a9f51408.jpg
70,292553106385,292554075105,424134584,沁凉的夜,5,保密,回复 @影子军主 :开始刷题看看能不能整个暑假实习，也是想去实习看看的，没法子了就去考研。只怕到最后哪条路都没让我走通直接快进到人生毁于一旦[笑哭],2026-03-09 05:34:32,0,0,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
71,292210201249,295029064800,433334326,Tamaneko_,6,女,回复 @沁凉的夜 : 港三除了hku，30w应该能读下来，cs专业的话用30w买两年时间还是很值的，不过计算机挺卷的，具体bar有多高我不太了解，末9均分88我认为值得一试[魔女的夜宴表情包_倒茶],2026-03-10 04:13:10,0,0,我柯某只想过平静的生活,陕西,否,https://i1.hdslb.com/bfs/face/d4faed881a35a9edbeef2ac3460be432a60a5e9e.jpg
72,292554075105,292767926129,1495699373,MoriuAyako,5,保密,回复 @沁凉的夜 : 刷题还是别了吧,2026-03-11 12:54:40,0,0,徜徉于漫天纷落的细雨中，纤凝作倒悬于碧落的芥舟,北京,否,https://i2.hdslb.com/bfs/face/199acb98f7857954a407f592736dae590c37bd4f.jpg
73,292767926129,292768868497,424134584,沁凉的夜,5,保密,回复 @MoriuAyako : 为啥涅？我感觉无论是面试还是考研复试刷题都是一个必须的步骤啊[思考],2026-03-11 13:06:15,0,0,悟已往之不谏，知来者之可追。实迷途其未远，觉今是而昨非。,陕西,否,https://i2.hdslb.com/bfs/face/a1606f514363be8ace760adf29bc36067b7821b8.jpg
74,292553106385,292784096321,486382896,Fleur-DeLys,6,保密,回复 @影子军主 :985本报培训班属实有点暴殄天物了,2026-03-11 15:46:59,0,0,,河南,是,https://i0.hdslb.com/bfs/face/057cc54d0be0f50635302a19b6e05b759ca2a1de.jpg
75,295029064800,292784242417,486382896,Fleur-DeLys,6,保密,"回复 @Tamaneko_ :末九均分88进港四五基本上没什么问题反正
三我不知道",2026-03-11 15:47:41,0,1,,河南,是,https://i0.hdslb.com/bfs/face/057cc54d0be0f50635302a19b6e05b759ca2a1de.jpg
76,292784096321,292784303185,1302511965,影子军主,5,男,回复 @Fleur-DeLys :985一堆报培训的，你去过就知道，太他妈逆天了，有些大一下就去报了，然后大二下直接实习,2026-03-11 15:49:59,0,1,,广东,是,https://i0.hdslb.com/bfs/face/ca51584dbfc8e90b9cb65b4ab7fe61f1a9f51408.jpg
77,292784303185,292784568929,486382896,Fleur-DeLys,6,保密,"回复 @影子军主 :没必要啊，我去的培训班的主流客户其实都是普通本科
大二实习的问题是很多学校根本不放人，累积不到三个月及其以上的完整实习经验
特别是地区差＋管的严的学校，基本上等于大三下暑假前你找不到什么好的实习的",2026-03-11 15:51:50,0,0,,河南,是,https://i0.hdslb.com/bfs/face/057cc54d0be0f50635302a19b6e05b759ca2a1de.jpg
78,292784568929,292785097409,1302511965,影子军主,5,男,回复 @Fleur-DeLys :我去的什么学校都有 985 211 一本 二本都有，真不放嘛？那就寒暑假去呗，反正我培训班那些人说如果强硬的话是可以的,2026-03-11 15:59:12,0,0,,广东,是,https://i0.hdslb.com/bfs/face/ca51584dbfc8e90b9cb65b4ab7fe61f1a9f51408.jpg
79,292785097409,292785944673,486382896,Fleur-DeLys,6,保密,回复 @影子军主 :说的就是寒暑假时间太短，你寒暑假只能实习最多两个多月，强硬得看学校考勤强度,2026-03-11 16:10:29,0,0,,河南,是,https://i0.hdslb.com/bfs/face/057cc54d0be0f50635302a19b6e05b759ca2a1de.jpg
80,292785097409,292786023489,486382896,Fleur-DeLys,6,保密,回复 @影子军主 :我ip辅导班几乎很少有河大、郑大的学生，破天荒会有别的985211学生,2026-03-11 16:11:05,0,0,,河南,是,https://i0.hdslb.com/bfs/face/057cc54d0be0f50635302a19b6e05b759ca2a1de.jpg
81,292784303185,292786165697,486382896,Fleur-DeLys,6,保密,回复 @影子军主 :辅导班确实有就业协议，但是一般就是一万上下，封闭式高强度学习几个月＋几万学费，如果有点规划和自学能力大概率不需要这个时间财力都能做到。我室友技术几乎一窍不通去了一个运维岗位，接着跳槽转型找游戏策划的实习，从决定转行到找到实习就花了二十多天。,2026-03-11 16:13:01,0,0,,河南,是,https://i0.hdslb.com/bfs/face/057cc54d0be0f50635302a19b6e05b759ca2a1de.jpg
82,292786165697,292786672161,1302511965,影子军主,5,男,回复 @Fleur-DeLys :游戏策划还好 不是很吃技术 如果是技术岗，真不一定,2026-03-11 16:20:46,0,0,,广东,是,https://i0.hdslb.com/bfs/face/ca51584dbfc8e90b9cb65b4ab7fe61f1a9f51408.jpg
83,292786672161,292787338209,486382896,Fleur-DeLys,6,保密,"回复 @影子军主 :技术岗二十天除非是运维或者测试一定是找不到的，开发得正儿八经的苦学几个月时间
算法那种是给卷王里的卷王准备的，不用讨论了",2026-03-11 16:30:54,0,1,,河南,是,https://i0.hdslb.com/bfs/face/057cc54d0be0f50635302a19b6e05b759ca2a1de.jpg
84,292064017793,295731672256,75533144,官方唯一指定小刘,6,保密,工作一年再学习，这样你学的时候，手里会做项目，学的会更主动，知识也更容易吸收。,2026-03-16 19:07:43,0,0,人生在世，琐事繁碎。争议即停，心放万维。,江苏,否,https://i0.hdslb.com/bfs/baselabs/e3df5f8ec32c19743de241a4b8449c5c628a2172.png
