序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,ai_prob,human_prob,conclusion
36,296748387232,296749084752,1920798426,齁嘔嘔嘔嘔,5,保密,回复 @予笙----- :你這種想法其實是正確的，但是那是你沒碰到囤囤鼠，你不讓他們囤錢，難不成他給你囤一堆食物，哪來那麼多地方給你放，可以想想，錢是好用可交易的貴金屬，而且不佔空間，至少我認為，幸福的支撐在於物質生活，而物質生活可以壓縮成錢，但是那些不用工作卻家財萬貫的，我當然是羨慕的,2026-03-26 11:49:20,0,0,,中国台湾,否,https://i0.hdslb.com/bfs/face/fca164f5287849e64f9ed5ebcd858d34bec424bb.jpg,0.015267248265445232,0.9847326874732971,人类撰写
37,296749004672,296749389472,1920798426,齁嘔嘔嘔嘔,5,保密,回复 @无寔 :繁體字其實還好，又不是讓你去看阿拉伯文😅,2026-03-26 11:51:40,0,1,,中国台湾,否,https://i0.hdslb.com/bfs/face/fca164f5287849e64f9ed5ebcd858d34bec424bb.jpg,0.1082586795091629,0.8917413353919983,人类撰写
38,294229415761,294233573121,37008873,全科学术研究者,6,女,回复 @老由读书笔记 :实际上是技术会普及而且不可控,2026-03-26 11:56:52,0,0,"你们要晓得真理，真理使得你们自由。
                                                    ",广东,否,https://i0.hdslb.com/bfs/face/e535c60cb66aa84c3ef196ac81f36dc8545f464e.jpg,0.021715955808758736,0.9782840609550476,人类撰写
39,296743006704,294235502881,415235578,一片要改变自己的好饼,6,男,湾哥炖的鸡汤，饮了[大笑],2026-03-26 12:17:05,0,0,砍一棵树，最好的时间是十年前，其次就是现在。,广东,是,https://i1.hdslb.com/bfs/face/4ae18263234d3dba74452b3773514cb21f1bcedb.jpg,0.027744295075535774,0.9722557663917542,人类撰写
40,296746463328,296752169424,3494374793021606,我是zyh张毓绗,5,保密,回复 @齁嘔嘔嘔嘔 :长期看是这样的，但短期而言未来AI对于就业冲击还是很大的。我感觉近期（三年以内）AI貌似没有制造多少新岗位，反而在大幅替代传统程序员。你的工作状况如何？公司有想过AI裁员吗？,2026-03-26 12:18:17,0,0,,江苏,是,https://i2.hdslb.com/bfs/face/3e51dcb57118dae89460558a9002f34184b90965.jpg,0.46943774819374084,0.5305622220039368,人类撰写
41,0,294217355793,332526190,轩宇holiday,6,男,我从小灌输吃苦，我家庭条件还好。毕业后还灌输吃苦，吃的苦中苦方为人上人的思想，我爸说男人吃苦永远吃不完，不要和女人一样，我听完内心真的来气。在他眼里我虽是非煤矿山开采毕业，过去我实习培训三班倒，铲不完灰和泥料，和三十多斤托辊，持续了半年，在他眼里不算苦。回到地方我还被灌输，没苦硬吃的思想。,2026-03-26 08:58:25,8,14,一个上传闲杂视频的up主,安徽,是,https://i1.hdslb.com/bfs/face/6ad2dc2061d861a4b58ad78ddb105e0f9f23b9d1.jpg,0.014411612413823605,0.9855883717536926,人类撰写
42,294217355793,296742979168,1920798426,齁嘔嘔嘔嘔,5,保密,吃苦的可以宣傳宣導當然是問題，不過你要想一想，方為人上人，真的是人上人嗎，還是別有他意，人上人被現代扭曲成一定是達官顯貴，可以大吃大喝，衣食無憂，本來就不是這個意思，我也對你自身也對你自身的遭遇感到十分抱歉，實際上，人上人傳達的是成為更好的一個人，了解自身的處境，你也不是撐過來了，有一句詩言「桃李春風一杯酒，江湖夜雨十年燈」，生活不會如你所願，但也就這樣子（好吧，其實有點雞湯文）[支持],2026-03-26 10:48:45,0,1,,中国台湾,否,https://i0.hdslb.com/bfs/face/fca164f5287849e64f9ed5ebcd858d34bec424bb.jpg,0.02538587898015976,0.974614143371582,人类撰写
43,294217355793,296743262096,3706930759469838,温岚O2O建德,2,保密,想当人上人就得革命,2026-03-26 10:52:31,0,2,,陕西,否,https://i0.hdslb.com/bfs/face/d8c1022b6476d41f6e4295e2f26ac89d3ba5556b.jpg,0.04388914629817009,0.9561108946800232,人类撰写
44,294217355793,296744544240,39546,寤寐,6,保密,男人当苦，确实吃不完。这里你爸很有远见。,2026-03-26 11:04:25,0,2,有些人，在网上说讲不出什么道理，就喜欢点进去别人空间，疯狂的寻找可以贴标签地方，来证明自己的正义，我分享一首英文歌被贴上标记，歌曲已删。,湖南,否,https://i0.hdslb.com/bfs/face/9f35548fb9ba04d4c4fd7ef6c4cc1e290ee6005d.jpg,0.061199456453323364,0.9388005137443542,人类撰写
45,294217355793,294230484497,375280264,凑凑合合不冷漠,4,保密,你爸是对的，想要跨越阶级就得这样，除非你只想躺平,2026-03-26 11:23:10,0,2,,湖南,否,https://i1.hdslb.com/bfs/face/6e24dc3929c0f4a2982277068cc76d12b0e0f4c6.jpg,0.7995409965515137,0.20045898854732513,AI生成
46,294217355793,296751146080,194748818,每天两瓶可口可乐养身,5,男,单纯让你体验下赚钱不容易的生活，你爸是对的，总比游手好闲好，不想吃苦就可以脱离家庭自食其力,2026-03-26 12:09:00,0,0,千言万语难相忘，终是痴情人惘然。,浙江,是,https://i2.hdslb.com/bfs/face/2e3376120663ce058d7f6b71f1c056a0b0c562e1.jpg,0.048307083547115326,0.9516929388046265,人类撰写
47,294230484497,296751740576,193566841,张将军乃天人也,6,男,回复 @凑凑合合不冷漠 :最近20年，你给我举出一个，底层阶级人家的孩子，通过这样做跨越阶级成为权贵阶级或资本家富豪阶级的。你给我举出一个就行，最近20年。,2026-03-26 12:15:12,0,1,本命年上岸。好好活着比啥都重要。,黑龙江,否,https://i1.hdslb.com/bfs/face/15688d413a4497515ff2e07e8b32a3a2c41ac9a1.jpg,0.018156640231609344,0.9818434119224548,人类撰写
48,296751146080,294235948481,332526190,轩宇holiday,6,男,回复 @每天两瓶可口可乐养身 :的确，我是赞成，但是不要老是没苦硬吃,2026-03-26 12:21:05,0,0,一个上传闲杂视频的up主,安徽,是,https://i1.hdslb.com/bfs/face/6ad2dc2061d861a4b58ad78ddb105e0f9f23b9d1.jpg,0.017730502411723137,0.9822694659233093,人类撰写
49,294217355793,296752764288,397235337,蒜头若思,6,保密,吃得苦中苦，吃不完的苦给你吃。没必要难为自己[无语],2026-03-26 12:25:36,0,0,,黑龙江,否,https://i0.hdslb.com/bfs/face/83ce38ad585e58c765d2f94b4ac16ccf9b6f1f32.jpg,0.0455297976732254,0.9544702172279358,人类撰写
50,0,294213988961,404470374,人格分裂的尤里和焚风,6,保密,我这么就碰不到呢[大哭],2026-03-26 08:11:15,19,239,互相迁就才能长久,山西,否,https://i0.hdslb.com/bfs/face/939735ab5ca0683137a7a2ddc9a37d901d402304.jpg,0.03445865958929062,0.9655413627624512,人类撰写
51,294213988961,294214886241,86947261,唐凇繁,6,男,他只是说了你想听的话,2026-03-26 08:22:29,0,5,孤勇之后，便是繁华,浙江,否,https://i1.hdslb.com/bfs/face/d4c9407a6c9a099d6768d31827724bbfc839bc7c.jpg,0.057836782187223434,0.9421632289886475,人类撰写
52,294214886241,296729276224,1748817738,深深爱吃麻辣鸡,5,保密,回复 @唐凇繁 :？他说的有错？,2026-03-26 08:25:56,0,39,,湖南,否,https://i0.hdslb.com/bfs/face/f86395d60896543ddad2f9277db76ef34e1371b2.jpg,0.04402049258351326,0.9559794664382935,人类撰写
53,294214886241,294216000369,44477157,超光速自行车L,6,男,回复 @唐凇繁 :说了你不想听的话,2026-03-26 08:38:09,0,29,是啊，吃什么,广东,是,https://i0.hdslb.com/bfs/face/392b1cff48d1697c5d7f31295c992a349c625724.jpg,0.02809777669608593,0.9719022512435913,人类撰写
54,294214886241,296736047104,360419,宅武合一,6,男,回复 @唐凇繁 :您说的对,2026-03-26 09:38:54,0,1,文能提笔安天下 武能催马定乾坤,辽宁,是,https://i2.hdslb.com/bfs/face/cd85471708928d9e8288fb806bb681678501acff.gif,0.056153103709220886,0.9438468813896179,人类撰写
55,294213988961,296739517872,541816609,-GregoryHouse-,5,男,什么碰不到，这不是看到了吗，从现在开始还不晚,2026-03-26 10:15:21,0,2,载甘麻,山东,否,https://i1.hdslb.com/bfs/face/d85f009c0683a8b7c2bd57adf8c551e1892fa2b1.jpg,0.01924758404493332,0.9807524085044861,人类撰写
56,294214886241,296739803088,189997525,一登一dua郎,6,男,回复 @唐凇繁 :并非想听，只是感到意外，于是细品感觉没毛病，而你只是🤡[嗑瓜子],2026-03-26 10:18:04,0,0,每日都投币,广东,否,https://i1.hdslb.com/bfs/face/96da8db2773332c0ef2932b745f5983d0b512b8b.jpg,0.01829039864242077,0.9817095398902893,人类撰写
57,294213988961,296740494720,14218226,盛雪z,6,保密,人有七情六欲 没有绝对的错，没有绝对的对，选择适合自己的就好。什么平平淡淡是福，鬼扯，无奈的时候多着去了，社会没有你想象的那么公平的,2026-03-26 10:24:36,0,0,sometimes ever，sometimes never！,广东,是,http://i2.hdslb.com/bfs/face/cc6180ca2f022d2d35e7d1a7c78ccb8b0dfd6991.jpg,0.01907835341989994,0.9809215664863586,人类撰写
58,294213988961,294224968801,22438480,小肥熊要早睡,6,男,二极管[草莓猫Taffy_Taffy流汗],2026-03-26 10:24:57,0,0,调整心态，保持热爱,北京,否,https://i1.hdslb.com/bfs/face/8b61008afcc327a1ec68fd93ccce7be11f6d3288.webp,0.18087536096572876,0.8191246390342712,人类撰写
59,296729276224,296742535808,326533313,天下大桐,5,男,回复 @深深爱吃麻辣鸡 :父母说了难听的话你也删？这东西权衡利弊，如果是那种无关紧要的人恶心你，那你就直接拉黑,2026-03-26 10:45:07,0,0,,天津,否,https://i2.hdslb.com/bfs/face/2cf4ee58f700c63c3af87706ce187292adbe0a95.jpg,0.5560199618339539,0.44398003816604614,AI生成
60,294213988961,294229255505,86575,alaachai,6,保密,每错，穷也有穷开心的，不要样样都跟别人比，太累了,2026-03-26 11:10:53,0,0,,广东,否,http://i2.hdslb.com/bfs/face/e47424a19b0d696ed671d8ed183b6499265f09e9.jpg,0.021809251978993416,0.9781907796859741,人类撰写
61,294214886241,296748291808,449565622,文暮-,6,男,回复 @唐凇繁 :替我挡灾去吧[笑哭],2026-03-26 11:40:31,0,0,准备好下一次的开始了吗？,广东,否,https://i1.hdslb.com/bfs/face/8880af308330be30cf3485d4f90b082ff4d4235e.jpg,0.13341209292411804,0.8665878772735596,人类撰写
62,294213988961,296748301200,449565622,文暮-,6,男,幸福的最终焚决,2026-03-26 11:40:48,0,0,准备好下一次的开始了吗？,广东,否,https://i1.hdslb.com/bfs/face/8880af308330be30cf3485d4f90b082ff4d4235e.jpg,0.44668811559677124,0.553311824798584,人类撰写
63,294214886241,294232349217,11396095,Sam神,6,女,回复 @唐凇繁 :你只是说了难听的话,2026-03-26 11:43:10,0,1,ⓘ该账号已注销,海南,是,https://i1.hdslb.com/bfs/face/42987a672ff7d4c19cf92c66a66fdcb8040b9902.jpg,0.07020091265439987,0.9297990798950195,人类撰写
64,296729276224,296748852880,3546903815915947,短暂的相遇2026,3,保密,回复 @深深爱吃麻辣鸡 :啊？真不是串子啊，一个心灵鸡汤咋可能没错。一点难听的话都不听啊，就句子本身就太绝对了。你打游戏，你坑别人了。队友态度不算太好，也不算太差，于是你就一点也不听对方的，只是因为对方态度不够好啊？？而且你怎么界定什么是好，什么是坏啊？什么不喜欢的人就删掉，你跟你爹妈闹了矛盾，你跟你兄弟姐妹闹了矛盾，当时你有点不喜欢他们了，你就跟他们恩断义绝啊，把他们的联系方式都删了啊，而且什么叫摒弃所有不必要的愧疚感啊？你误会了别人，对对方进行很强的输出，事后你发现了，你能一点愧疚感都没有啊？一点表示都没有啊，是不是得给自己找理由，把这个必要的愧疚感也给转化成不必要的呢？这玩意本来就没法界定啊。还有爱自己和把自己的感受放第一位，字面意思天大地大我最大呗，我管你说的对不对，反正当时我就感受到我受到了侮辱，我就必须得搞你，是这个道理啊？一个心灵鸡汤，你反问怎么有错？？简直了，真的,2026-03-26 11:47:14,0,0,,山东,否,https://i1.hdslb.com/bfs/face/4f06e5d58dc9fcaa499035ab06cf4023e086ad1a.jpg,0.029934801161289215,0.9700652360916138,人类撰写
65,294214886241,296749271232,3546903815915947,短暂的相遇2026,3,保密,回复 @唐凇繁 :他只是很笼统的说了段看似有内容的废话[笑哭],2026-03-26 11:50:58,0,0,,山东,否,https://i1.hdslb.com/bfs/face/4f06e5d58dc9fcaa499035ab06cf4023e086ad1a.jpg,0.024063359946012497,0.9759366512298584,人类撰写
66,294213988961,296749811664,356513814,索然无味人,5,保密,规避苦痛，一直躲在自己的舒适圈，早晚被时代抛弃，最终还是要吃苦的,2026-03-26 11:56:27,0,0,,河南,否,http://i0.hdslb.com/bfs/face/c0241d2fe943d8dac8c19ad084edf31bbe5ea2f9.jpg,0.35571837425231934,0.6442816257476807,人类撰写
67,294213988961,296750570608,3546612806715425,VB哈哈哈飞车,4,保密,我去，神医,2026-03-26 12:03:08,0,0,,山西,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,0.0437561571598053,0.9562438726425171,人类撰写
68,294214886241,296751002352,381833634,四季_夏目-,5,男,回复 @唐凇繁 :看来你不想别人好过[吃瓜],2026-03-26 12:07:50,0,0,"这个人很帅，什么也没留下
",河南,否,https://i0.hdslb.com/bfs/face/38a4c56f032393450094bf3d7fda1747243a00e0.jpg,0.02359131909906864,0.9764086604118347,人类撰写
69,294214886241,296751332112,527604622,汤姆猫-----,5,男,回复 @唐凇繁 :那你反着来就对了[吃瓜],2026-03-26 12:11:39,0,0,,湖北,否,https://i1.hdslb.com/bfs/face/bfedc8daa470669246297e494817ff6b6b37c5f3.jpg,0.041200779378414154,0.9587991833686829,人类撰写
70,0,294207088913,478413690,一只熊吔,5,保密,马云有些话还是有道理的，几十万几百万是你的，但是几亿几十亿后钱就不是你的，你会被推着走，一群人等着你糊口，资本等着你赚更多,2026-03-26 06:30:34,74,473,学做游戏自媒体,江西,否,https://i0.hdslb.com/bfs/face/0e33c0fa849e3c06fb735358ee09bb67903d34a6.jpg,0.020954303443431854,0.9790456295013428,人类撰写
71,294208424081,296722535328,251633640,花花晓妖,6,保密,回复 @潜水的鱼n :你想的太简单了 还真能饿死 张成立那么大公司 基本就靠张的个人ip运作 家长报名都是奔着那张脸去的 没张谁找你 张一没这公司要不了多久就土崩瓦解了 ?,2026-03-26 06:56:52,0,207,,河北,否,https://i0.hdslb.com/bfs/face/38fecd00343f50466430da9a4f4315de0eceb998.jpg,0.01042467076331377,0.9895752668380737,人类撰写
72,294208424081,296723516848,24107623,埃克森莱特,6,保密,回复 @潜水的鱼n :你哪怕开一个十人的小公司就不会这么想了,2026-03-26 07:08:23,0,70,,甘肃,否,http://i1.hdslb.com/bfs/face/106bc0cd6b7c6ff84998f5897ca157af5830d2cd.jpg,0.04878727346658707,0.9512127041816711,人类撰写
